Rank,Name,Revenues 2019,Profits 2019,Assets 2019,Employees 2019,Market Value 2019,
116,Nucor,25067.3,2360.8,17920.6,26300,17784,
117,Starbucks,24719.5,4518.3,24156.4,291000,92449.2,
118,Eli Lilly,24555.7,3232,43908.4,38680,134355.9,
119,Thermo Fisher Scientific,24358,2938,56232,69200,109215.3,
120,Duke Energy,24116,2666,145392,30083,65488.1,
121,Halliburton,23995,1656,25982,60000,25565.5,
122,Cummins,23771,2141,19062,62610,24839.1,
123,Amgen,23747,8394,66416,21500,118220.4,
124,Paccar,23495.7,2195.1,25482.4,28000,23630.4,
125,Southern,23495,2226,116914,30286,53466.3,
126,CenturyLink,23443,-1733,70256,45000,12946.6,
127,International Paper,23306,2012,33576,53000,18518.9,
128,Union Pacific,22832,5966,59147,41967,120865.2,
129,Dollar Tree,22823.3,-1590.8,13501.2,119650,25021,
130,Penske Automotive Group,22785.1,471,10904.5,27000,3756.8,
131,Qualcomm,22732,-4864,32686,35400,69023.7,
132,Bristol-Myers Squibb,22561,4920,34986,23300,77895,
133,Gilead Sciences,22127,5455,63675,11000,82881,
134,Jabil,22095.4,86.3,12045.6,199000,4113.9,
135,ManpowerGroup,21991.2,556.7,8519.8,30000,4964.7,
136,Southwest Airlines,21965,2465,26243,58803,28690.1,
137,Aflac,21758,2920,140406,11390,37442.5,
138,AutoNation,21412.8,396,10665.1,26000,3216.9,
139,CBRE Group,21340.1,1063.2,13456.8,90000,16607,
140,Lear,21148.5,1149.8,11600.7,169000,8470.4,
141,Whirlpool,21037,-183,18347,92000,8454.6,
142,McDonald's,21025.2,5924.3,32811.2,210000,145333.8,
143,Marriott International,20758,1907,23696,176000,42117.1,
144,Western Digital,20647,675,29235,71600,13978.3,
145,Visa,20609,10301,69225,17000,343774.2,
146,Lennar,20571.6,1695.8,28566.2,11626,15513.8,
147,WellCare Health Plans,20414.1,439.8,11764.7,12000,13569,
148,Kohl's,20229,801,12469,81500,11220.9,
149,AECOM,20155.5,136.5,14681.1,87000,4631.3,
150,Synnex,20053.8,300.6,11480.4,231600,4885.1,
151,Danaher,19893,2650.9,47832.5,71000,94485.9,
152,Altria Group,19627,6963,55638,8300,107648.6,
153,Bank of New York Mellon,19214,4266,362873,51300,48152.7,
154,Fluor,19166.6,224.8,8913.6,53349,5137.6,
155,Avnet,19036.9,-156.4,9596.8,15400,4702.5,
156,Icahn Enterprises,18979,1507,23396,29034,13874.6,
157,Occidental Petroleum,18934,4131,43854,11000,49509.5,
158,Molina Healthcare,18890,707,7154,11000,8890.9,
159,Genuine Parts,18735.1,810.5,12683,50000,16350.1,
160,Freeport-McMoRan,18628,2602,42216,26800,18678.4,
161,Kimberly-Clark,18486,1410,14518,41000,42635.2,
162,Tenet Healthcare,18313,111,22409,102795,2968.6,
163,CarMax,17976.8,664.1,17486.3,25110,11690,
164,HollyFrontier,17714.7,1098,10994.6,3622,8413.6,
165,Sherwin-Williams,17534.5,1108.7,19134.3,53368,39918.5,
166,Emerson Electric,17408,2203,20390,87500,42083,
167,NGL Energy Partners,17282.7,-70.9,6151.1,2400,1740.2,
